IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
AAK1,AAK1,AKR1A1,AKR1A1,HYI,HYI,HYI,HYI,RNF220,RNF220,HYI,HYI,HYI,HYI,AAK1,AAK1,HYI,HYI,KTI12,KTI12,,,MYC,MYC,ASH2L,ASH2L,ASH2L,ASH2L,RUNX1T1,RUNX1T1,ASH2L,ASH2L,ASH2L,ASH2L,,,ASH2L,ASH2L,CREB3,CREB3,,,,,,,,,,,,,,,,,,,,
PCBP1-AS1,PCBP1-AS1,NASP,NASP,PTPRF,PTPRF,PTPRF,PTPRF,TMEM53,TMEM53,PTPRF,PTPRF,PTPRF,PTPRF,PCBP1-AS1,PCBP1-AS1,PTPRF,PTPRF,BTF3L4,BTF3L4,,,ZFAT,ZFAT,ZMAT4,ZMAT4,ZMAT4,ZMAT4,ZNF706,ZNF706,ZMAT4,ZMAT4,ZMAT4,ZMAT4,,,ZMAT4,ZMAT4,ZBTB5,ZBTB5,,,,,,,,,,,,,,,,,,,,
PCBP1,PCBP1,GPBP1L1,GPBP1L1,KDM4A,KDM4A,KDM4A,KDM4A,ARMH1,ARMH1,KDM4A,KDM4A,KDM4A,KDM4A,PCBP1,PCBP1,KDM4A,KDM4A,ZFYVE9,ZFYVE9,,,ZFP41,ZFP41,KAT6A,KAT6A,KAT6A,KAT6A,KLF10,KLF10,KAT6A,KAT6A,KAT6A,KAT6A,,,KAT6A,KAT6A,RORB,RORB,,,,,,,,,,,,,,,,,,,,
SNRPG,SNRPG,TMEM69,TMEM69,KDM4A-AS1,KDM4A-AS1,KDM4A-AS1,KDM4A-AS1,KIF2C,KIF2C,KDM4A-AS1,KDM4A-AS1,KDM4A-AS1,KDM4A-AS1,SNRPG,SNRPG,KDM4A-AS1,KDM4A-AS1,CC2D1B,CC2D1B,,,GLI4,GLI4,THAP1,THAP1,THAP1,THAP1,ZFPM2,ZFPM2,THAP1,THAP1,THAP1,THAP1,,,THAP1,THAP1,NFIL3,NFIL3,,,,,,,,,,,,,,,,,,,,
ADD2,ADD2,IPP,IPP,ST3GAL3,ST3GAL3,ST3GAL3,ST3GAL3,RPS8,RPS8,ST3GAL3,ST3GAL3,ST3GAL3,ST3GAL3,ADD2,ADD2,ST3GAL3,ST3GAL3,PRPF38A,PRPF38A,,,ZNF696,ZNF696,ST18,ST18,ST18,ST18,TRPS1,TRPS1,ST18,ST18,ST18,ST18,,,ST18,ST18,ZNF484,ZNF484,,,,,,,,,,,,,,,,,,,,
ZNF638,ZNF638,MAST2,MAST2,AL451062.1,AL451062.1,AL451062.1,AL451062.1,PLK3,PLK3,AL451062.1,AL451062.1,AL451062.1,AL451062.1,ZNF638,ZNF638,AL451062.1,AL451062.1,TUT4,TUT4,,,ZC3H3,ZC3H3,PLAG1,PLAG1,PLAG1,PLAG1,ZHX2,ZHX2,PLAG1,PLAG1,PLAG1,PLAG1,,,PLAG1,PLAG1,ZNF169,ZNF169,,,,,,,,,,,,,,,,,,,,
EXOC6B,EXOC6B,PIK3R3,PIK3R3,IPO13,IPO13,IPO13,IPO13,PTCH2,PTCH2,IPO13,IPO13,IPO13,IPO13,EXOC6B,EXOC6B,IPO13,IPO13,GPX7,GPX7,,,ZNF623,ZNF623,TOX,TOX,TOX,TOX,ZHX1,ZHX1,TOX,TOX,TOX,TOX,,,TOX,TOX,ZNF367,ZNF367,,,,,,,,,,,,,,,,,,,,
CCT7,CCT7,POMGNT1,POMGNT1,ATP6V0B,ATP6V0B,ATP6V0B,ATP6V0B,EIF2B3,EIF2B3,ATP6V0B,ATP6V0B,ATP6V0B,ATP6V0B,CCT7,CCT7,ATP6V0B,ATP6V0B,COA7,COA7,,,MAF1,MAF1,BHLHE22,BHLHE22,BHLHE22,BHLHE22,MYC,MYC,BHLHE22,BHLHE22,BHLHE22,BHLHE22,,,BHLHE22,BHLHE22,ZNF510,ZNF510,,,,,,,,,,,,,,,,,,,,
ALMS1,ALMS1,RAD54L,RAD54L,B4GALT2,B4GALT2,B4GALT2,B4GALT2,HECTD3,HECTD3,B4GALT2,B4GALT2,B4GALT2,B4GALT2,ALMS1,ALMS1,B4GALT2,B4GALT2,ZYG11B,ZYG11B,,,HSF1,HSF1,MYBL1,MYBL1,MYBL1,MYBL1,ZFAT,ZFAT,MYBL1,MYBL1,MYBL1,MYBL1,,,MYBL1,MYBL1,ZNF782,ZNF782,,,,,,,,,,,,,,,,,,,,
TPRKB,TPRKB,LRRC41,LRRC41,CCDC24,CCDC24,CCDC24,CCDC24,UROD,UROD,CCDC24,CCDC24,CCDC24,CCDC24,TPRKB,TPRKB,CCDC24,CCDC24,SCP2,SCP2,,,SCRT1,SCRT1,NCOA2,NCOA2,NCOA2,NCOA2,ZFP41,ZFP41,NCOA2,NCOA2,NCOA2,NCOA2,,,NCOA2,NCOA2,NR4A3,NR4A3,,,,,,,,,,,,,,,,,,,,
DGUOK,DGUOK,UQCRH,UQCRH,SLC6A9,SLC6A9,SLC6A9,SLC6A9,ZSWIM5,ZSWIM5,SLC6A9,SLC6A9,SLC6A9,SLC6A9,DGUOK,DGUOK,SLC6A9,SLC6A9,CPT2,CPT2,,,TONSL,TONSL,TERF1,TERF1,TERF1,TERF1,GLI4,GLI4,TERF1,TERF1,TERF1,TERF1,,,TERF1,TERF1,ZNF189,ZNF189,,,,,,,,,,,,,,,,,,,,
TET3,TET3,NSUN4,NSUN4,AL139220.2,AL139220.2,AL139220.2,AL139220.2,MUTYH,MUTYH,AL139220.2,AL139220.2,AL139220.2,AL139220.2,TET3,TET3,AL139220.2,AL139220.2,CZIB,CZIB,,,ZNF251,ZNF251,ZFHX4,ZFHX4,ZFHX4,ZFHX4,ZNF696,ZNF696,ZFHX4,ZFHX4,ZFHX4,ZFHX4,,,ZFHX4,ZFHX4,ZNF462,ZNF462,,,,,,,,,,,,,,,,,,,,
WDR54,WDR54,FAAH,FAAH,DMAP1,DMAP1,DMAP1,DMAP1,TOE1,TOE1,DMAP1,DMAP1,DMAP1,DMAP1,WDR54,WDR54,DMAP1,DMAP1,MAGOH,MAGOH,,,ZNF34,ZNF34,HEY1,HEY1,HEY1,HEY1,ZC3H3,ZC3H3,HEY1,HEY1,HEY1,HEY1,,,HEY1,HEY1,ZNF483,ZNF483,,,,,,,,,,,,,,,,,,,,
MRPL19,MRPL19,MKNK1,MKNK1,ERI3,ERI3,ERI3,ERI3,TESK2,TESK2,ERI3,ERI3,ERI3,ERI3,MRPL19,MRPL19,ERI3,ERI3,LRP8,LRP8,,,ZNF7,ZNF7,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZNF623,ZNF623,ZBTB10,ZBTB10,ZBTB10,ZBTB10,,,ZBTB10,ZBTB10,ZFP37,ZFP37,,,,,,,,,,,,,,,,,,,,
LRRTM4,LRRTM4,ATPAF1,ATPAF1,RNF220,RNF220,RNF220,RNF220,PRDX1,PRDX1,RNF220,RNF220,RNF220,RNF220,LRRTM4,LRRTM4,RNF220,RNF220,NDC1,NDC1,,,ZNF250,ZNF250,ZNF704,ZNF704,ZNF704,ZNF704,MAF1,MAF1,ZNF704,ZNF704,ZNF704,ZNF704,,,ZNF704,ZNF704,ZNF618,ZNF618,,,,,,,,,,,,,,,,,,,,
CTNNA2,CTNNA2,EFCAB14,EFCAB14,TMEM53,TMEM53,TMEM53,TMEM53,AKR1A1,AKR1A1,TMEM53,TMEM53,TMEM53,TMEM53,CTNNA2,CTNNA2,TMEM53,TMEM53,YIPF1,YIPF1,,,ZNF16,ZNF16,E2F5,E2F5,E2F5,E2F5,HSF1,HSF1,E2F5,E2F5,E2F5,E2F5,,,E2F5,E2F5,AKNA,AKNA,,,,,,,,,,,,,,,,,,,,
SUCLG1,SUCLG1,STIL,STIL,ARMH1,ARMH1,ARMH1,ARMH1,NASP,NASP,ARMH1,ARMH1,ARMH1,ARMH1,SUCLG1,SUCLG1,ARMH1,ARMH1,HSPB11,HSPB11,,,SMARCA2,SMARCA2,RUNX1T1,RUNX1T1,RUNX1T1,RUNX1T1,SCRT1,SCRT1,RUNX1T1,RUNX1T1,RUNX1T1,RUNX1T1,,,RUNX1T1,RUNX1T1,RC3H2,RC3H2,,,,,,,,,,,,,,,,,,,,
TMSB10,TMSB10,CMPK1,CMPK1,KIF2C,KIF2C,KIF2C,KIF2C,GPBP1L1,GPBP1L1,KIF2C,KIF2C,KIF2C,KIF2C,TMSB10,TMSB10,KIF2C,KIF2C,LRRC42,LRRC42,,,RFX3,RFX3,ZNF706,ZNF706,ZNF706,ZNF706,TONSL,TONSL,ZNF706,ZNF706,ZNF706,ZNF706,,,ZNF706,ZNF706,ZBTB6,ZBTB6,,,,,,,,,,,,,,,,,,,,
KCMF1,KCMF1,SPATA6,SPATA6,RPS8,RPS8,RPS8,RPS8,TMEM69,TMEM69,RPS8,RPS8,RPS8,RPS8,KCMF1,KCMF1,RPS8,RPS8,TMEM59,TMEM59,,,GLIS3,GLIS3,KLF10,KLF10,KLF10,KLF10,ZNF251,ZNF251,KLF10,KLF10,KLF10,KLF10,,,KLF10,KLF10,ZBTB26,ZBTB26,,,,,,,,,,,,,,,,,,,,
MAT2A,MAT2A,AGBL4,AGBL4,PLK3,PLK3,PLK3,PLK3,IPP,IPP,PLK3,PLK3,PLK3,PLK3,MAT2A,MAT2A,PLK3,PLK3,TCEANC2,TCEANC2,,,NFIB,NFIB,ZFPM2,ZFPM2,ZFPM2,ZFPM2,ZNF34,ZNF34,ZFPM2,ZFPM2,ZFPM2,ZFPM2,,,ZFPM2,ZFPM2,LHX2,LHX2,,,,,,,,,,,,,,,,,,,,
IMMT,IMMT,BEND5,BEND5,PTCH2,PTCH2,PTCH2,PTCH2,MAST2,MAST2,PTCH2,PTCH2,PTCH2,PTCH2,IMMT,IMMT,PTCH2,PTCH2,MRPL37,MRPL37,,,BNC2,BNC2,TRPS1,TRPS1,TRPS1,TRPS1,ZNF7,ZNF7,TRPS1,TRPS1,TRPS1,TRPS1,,,TRPS1,TRPS1,NR6A1,NR6A1,,,,,,,,,,,,,,,,,,,,
REEP1,REEP1,ELAVL4,ELAVL4,EIF2B3,EIF2B3,EIF2B3,EIF2B3,PIK3R3,PIK3R3,EIF2B3,EIF2B3,EIF2B3,EIF2B3,REEP1,REEP1,EIF2B3,EIF2B3,SSBP3,SSBP3,,,MLLT3,MLLT3,ZHX2,ZHX2,ZHX2,ZHX2,ZNF250,ZNF250,ZHX2,ZHX2,ZHX2,ZHX2,,,ZHX2,ZHX2,PBX3,PBX3,,,,,,,,,,,,,,,,,,,,
CHMP3,CHMP3,DMRTA2,DMRTA2,HECTD3,HECTD3,HECTD3,HECTD3,POMGNT1,POMGNT1,HECTD3,HECTD3,HECTD3,HECTD3,CHMP3,CHMP3,HECTD3,HECTD3,TTC4,TTC4,,,DMRTA1,DMRTA1,ZHX1,ZHX1,ZHX1,ZHX1,ZNF16,ZNF16,ZHX1,ZHX1,ZHX1,ZHX1,,,ZHX1,ZHX1,ZBTB43,ZBTB43,,,,,,,,,,,,,,,,,,,,
LINC00342,LINC00342,FAF1,FAF1,UROD,UROD,UROD,UROD,RAD54L,RAD54L,UROD,UROD,UROD,UROD,LINC00342,LINC00342,UROD,UROD,TTC22,TTC22,,,TOPORS,TOPORS,MYC,MYC,MYC,MYC,SMARCA2,SMARCA2,MYC,MYC,MYC,MYC,,,MYC,MYC,CIZ1,CIZ1,,,,,,,,,,,,,,,,,,,,
ANKRD36C,ANKRD36C,CDKN2C,CDKN2C,ZSWIM5,ZSWIM5,ZSWIM5,ZSWIM5,LRRC41,LRRC41,ZSWIM5,ZSWIM5,ZSWIM5,ZSWIM5,ANKRD36C,ANKRD36C,ZSWIM5,ZSWIM5,DHCR24,DHCR24,,,NFX1,NFX1,ZFAT,ZFAT,ZFAT,ZFAT,RFX3,RFX3,ZFAT,ZFAT,ZFAT,ZFAT,,,ZFAT,ZFAT,FUBP3,FUBP3,,,,,,,,,,,,,,,,,,,,
CIAO1,CIAO1,RNF11,RNF11,MUTYH,MUTYH,MUTYH,MUTYH,UQCRH,UQCRH,MUTYH,MUTYH,MUTYH,MUTYH,CIAO1,CIAO1,MUTYH,MUTYH,USP24,USP24,,,CREB3,CREB3,ZFP41,ZFP41,ZFP41,ZFP41,GLIS3,GLIS3,ZFP41,ZFP41,ZFP41,ZFP41,,,ZFP41,ZFP41,TTF1,TTF1,,,,,,,,,,,,,,,,,,,,
SNRNP200,SNRNP200,EPS15,EPS15,TOE1,TOE1,TOE1,TOE1,NSUN4,NSUN4,TOE1,TOE1,TOE1,TOE1,SNRNP200,SNRNP200,TOE1,TOE1,AC119674.1,AC119674.1,,,ZBTB5,ZBTB5,GLI4,GLI4,GLI4,GLI4,NFIB,NFIB,GLI4,GLI4,GLI4,GLI4,,,GLI4,GLI4,RXRA,RXRA,,,,,,,,,,,,,,,,,,,,
ANKRD36,ANKRD36,OSBPL9,OSBPL9,TESK2,TESK2,TESK2,TESK2,FAAH,FAAH,TESK2,TESK2,TESK2,TESK2,ANKRD36,ANKRD36,TESK2,TESK2,PLPP3,PLPP3,,,RORB,RORB,ZNF696,ZNF696,ZNF696,ZNF696,BNC2,BNC2,ZNF696,ZNF696,ZNF696,ZNF696,,,ZNF696,ZNF696,SNAPC4,SNAPC4,,,,,,,,,,,,,,,,,,,,
COX5B,COX5B,NRDC,NRDC,MMACHC,MMACHC,MMACHC,MMACHC,MKNK1,MKNK1,MMACHC,MMACHC,MMACHC,MMACHC,COX5B,COX5B,MMACHC,MMACHC,PRKAA2,PRKAA2,,,NFIL3,NFIL3,ZC3H3,ZC3H3,ZC3H3,ZC3H3,MLLT3,MLLT3,ZC3H3,ZC3H3,ZC3H3,ZC3H3,,,ZC3H3,ZC3H3,KLF6,KLF6,,,,,,,,,,,,,,,,,,,,
TMEM131,TMEM131,RAB3B,RAB3B,PRDX1,PRDX1,PRDX1,PRDX1,ATPAF1,ATPAF1,PRDX1,PRDX1,PRDX1,PRDX1,TMEM131,TMEM131,PRDX1,PRDX1,DAB1,DAB1,,,ZNF484,ZNF484,ZNF623,ZNF623,ZNF623,ZNF623,DMRTA1,DMRTA1,ZNF623,ZNF623,ZNF623,ZNF623,,,ZNF623,ZNF623,MLLT10,MLLT10,,,,,,,,,,,,,,,,,,,,
INPP4A,INPP4A,TXNDC12,TXNDC12,AKR1A1,AKR1A1,AKR1A1,AKR1A1,EFCAB14,EFCAB14,AKR1A1,AKR1A1,AKR1A1,AKR1A1,INPP4A,INPP4A,AKR1A1,AKR1A1,MYSM1,MYSM1,,,ZNF169,ZNF169,MAF1,MAF1,MAF1,MAF1,TOPORS,TOPORS,MAF1,MAF1,MAF1,MAF1,,,MAF1,MAF1,DNAJC1,DNAJC1,,,,,,,,,,,,,,,,,,,,
EIF5B,EIF5B,KTI12,KTI12,NASP,NASP,NASP,NASP,STIL,STIL,NASP,NASP,NASP,NASP,EIF5B,EIF5B,NASP,NASP,JUN,JUN,,,ZNF367,ZNF367,HSF1,HSF1,HSF1,HSF1,NFX1,NFX1,HSF1,HSF1,HSF1,HSF1,,,HSF1,HSF1,ZNF438,ZNF438,,,,,,,,,,,,,,,,,,,,
AFF3,AFF3,BTF3L4,BTF3L4,GPBP1L1,GPBP1L1,GPBP1L1,GPBP1L1,CMPK1,CMPK1,GPBP1L1,GPBP1L1,GPBP1L1,GPBP1L1,AFF3,AFF3,GPBP1L1,GPBP1L1,FGGY,FGGY,,,ZNF510,ZNF510,SCRT1,SCRT1,SCRT1,SCRT1,CREB3,CREB3,SCRT1,SCRT1,SCRT1,SCRT1,,,SCRT1,SCRT1,ZEB1,ZEB1,,,,,,,,,,,,,,,,,,,,
RPL31,RPL31,ZFYVE9,ZFYVE9,TMEM69,TMEM69,TMEM69,TMEM69,SPATA6,SPATA6,TMEM69,TMEM69,TMEM69,TMEM69,RPL31,RPL31,TMEM69,TMEM69,HOOK1,HOOK1,,,ZNF782,ZNF782,TONSL,TONSL,TONSL,TONSL,ZBTB5,ZBTB5,TONSL,TONSL,TONSL,TONSL,,,TONSL,TONSL,CREM,CREM,,,,,,,,,,,,,,,,,,,,
MAP4K4,MAP4K4,CC2D1B,CC2D1B,IPP,IPP,IPP,IPP,AGBL4,AGBL4,IPP,IPP,IPP,IPP,MAP4K4,MAP4K4,IPP,IPP,LINC01748,LINC01748,,,NR4A3,NR4A3,ZNF251,ZNF251,ZNF251,ZNF251,RORB,RORB,ZNF251,ZNF251,ZNF251,ZNF251,,,ZNF251,ZNF251,ZNF248,ZNF248,,,,,,,,,,,,,,,,,,,,
PANTR1,PANTR1,ORC1,ORC1,MAST2,MAST2,MAST2,MAST2,BEND5,BEND5,MAST2,MAST2,MAST2,MAST2,PANTR1,PANTR1,MAST2,MAST2,AC099792.1,AC099792.1,,,ZNF189,ZNF189,ZNF34,ZNF34,ZNF34,ZNF34,NFIL3,NFIL3,ZNF34,ZNF34,ZNF34,ZNF34,,,ZNF34,ZNF34,ZNF25,ZNF25,,,,,,,,,,,,,,,,,,,,
POU3F3,POU3F3,PRPF38A,PRPF38A,PIK3R3,PIK3R3,PIK3R3,PIK3R3,ELAVL4,ELAVL4,PIK3R3,PIK3R3,PIK3R3,PIK3R3,POU3F3,POU3F3,PIK3R3,PIK3R3,NFIA,NFIA,,,ZNF462,ZNF462,ZNF7,ZNF7,ZNF7,ZNF7,ZNF484,ZNF484,ZNF7,ZNF7,ZNF7,ZNF7,,,ZNF7,ZNF7,ZNF33A,ZNF33A,,,,,,,,,,,,,,,,,,,,
NCK2,NCK2,TUT4,TUT4,POMGNT1,POMGNT1,POMGNT1,POMGNT1,DMRTA2,DMRTA2,POMGNT1,POMGNT1,POMGNT1,POMGNT1,NCK2,NCK2,POMGNT1,POMGNT1,NFIA-AS2,NFIA-AS2,,,ZNF483,ZNF483,ZNF250,ZNF250,ZNF250,ZNF250,ZNF169,ZNF169,ZNF250,ZNF250,ZNF250,ZNF250,,,ZNF250,ZNF250,ZNF37A,ZNF37A,,,,,,,,,,,,,,,,,,,,
ST6GAL2,ST6GAL2,GPX7,GPX7,RAD54L,RAD54L,RAD54L,RAD54L,AL049637.2,AL049637.2,RAD54L,RAD54L,RAD54L,RAD54L,ST6GAL2,ST6GAL2,RAD54L,RAD54L,TM2D1,TM2D1,,,ZFP37,ZFP37,ZNF16,ZNF16,ZNF16,ZNF16,ZNF367,ZNF367,ZNF16,ZNF16,ZNF16,ZNF16,,,ZNF16,ZNF16,ZNF33B,ZNF33B,,,,,,,,,,,,,,,,,,,,
LIMS1,LIMS1,COA7,COA7,LRRC41,LRRC41,LRRC41,LRRC41,FAF1,FAF1,LRRC41,LRRC41,LRRC41,LRRC41,LIMS1,LIMS1,LRRC41,LRRC41,PATJ,PATJ,,,ZNF618,ZNF618,SMARCA2,SMARCA2,SMARCA2,SMARCA2,ZNF510,ZNF510,SMARCA2,SMARCA2,SMARCA2,SMARCA2,,,SMARCA2,SMARCA2,ZNF32,ZNF32,,,,,,,,,,,,,,,,,,,,
RANBP2,RANBP2,ZYG11B,ZYG11B,UQCRH,UQCRH,UQCRH,UQCRH,CDKN2C,CDKN2C,UQCRH,UQCRH,UQCRH,UQCRH,RANBP2,RANBP2,UQCRH,UQCRH,USP1,USP1,,,AKNA,AKNA,RFX3,RFX3,RFX3,RFX3,ZNF782,ZNF782,RFX3,RFX3,RFX3,RFX3,,,RFX3,RFX3,ZNF22,ZNF22,,,,,,,,,,,,,,,,,,,,
CCDC138,CCDC138,SCP2,SCP2,NSUN4,NSUN4,NSUN4,NSUN4,RNF11,RNF11,NSUN4,NSUN4,NSUN4,NSUN4,CCDC138,CCDC138,NSUN4,NSUN4,DOCK7,DOCK7,,,RC3H2,RC3H2,GLIS3,GLIS3,GLIS3,GLIS3,NR4A3,NR4A3,GLIS3,GLIS3,GLIS3,GLIS3,,,GLIS3,GLIS3,NCOA4,NCOA4,,,,,,,,,,,,,,,,,,,,
ACTR3,ACTR3,CPT2,CPT2,FAAH,FAAH,FAAH,FAAH,EPS15,EPS15,FAAH,FAAH,FAAH,FAAH,ACTR3,ACTR3,FAAH,FAAH,ATG4C,ATG4C,,,ZBTB6,ZBTB6,NFIB,NFIB,NFIB,NFIB,ZNF189,ZNF189,NFIB,NFIB,NFIB,NFIB,,,NFIB,NFIB,TFAM,TFAM,,,,,,,,,,,,,,,,,,,,
DPP10,DPP10,CZIB,CZIB,MKNK1,MKNK1,MKNK1,MKNK1,OSBPL9,OSBPL9,MKNK1,MKNK1,MKNK1,MKNK1,DPP10,DPP10,MKNK1,MKNK1,ALG6,ALG6,,,ZBTB26,ZBTB26,BNC2,BNC2,BNC2,BNC2,ZNF462,ZNF462,BNC2,BNC2,BNC2,BNC2,,,BNC2,BNC2,ARID5B,ARID5B,,,,,,,,,,,,,,,,,,,,
DDX18,DDX18,MAGOH,MAGOH,ATPAF1,ATPAF1,ATPAF1,ATPAF1,NRDC,NRDC,ATPAF1,ATPAF1,ATPAF1,ATPAF1,DDX18,DDX18,ATPAF1,ATPAF1,ITGB3BP,ITGB3BP,,,LHX2,LHX2,MLLT3,MLLT3,MLLT3,MLLT3,ZNF483,ZNF483,MLLT3,MLLT3,MLLT3,MLLT3,,,MLLT3,MLLT3,TET1,TET1,,,,,,,,,,,,,,,,,,,,
DBI,DBI,LRP8,LRP8,EFCAB14,EFCAB14,EFCAB14,EFCAB14,RAB3B,RAB3B,EFCAB14,EFCAB14,EFCAB14,EFCAB14,DBI,DBI,EFCAB14,EFCAB14,EFCAB7,EFCAB7,,,NR6A1,NR6A1,DMRTA1,DMRTA1,DMRTA1,DMRTA1,ZFP37,ZFP37,DMRTA1,DMRTA1,DMRTA1,DMRTA1,,,DMRTA1,DMRTA1,KAT6B,KAT6B,,,,,,,,,,,,,,,,,,,,
PTPN4,PTPN4,NDC1,NDC1,STIL,STIL,STIL,STIL,TXNDC12,TXNDC12,STIL,STIL,STIL,STIL,PTPN4,PTPN4,STIL,STIL,PGM1,PGM1,,,PBX3,PBX3,TOPORS,TOPORS,TOPORS,TOPORS,ZNF618,ZNF618,TOPORS,TOPORS,TOPORS,TOPORS,,,TOPORS,TOPORS,ZNF503,ZNF503,,,,,,,,,,,,,,,,,,,,
EPB41L5,EPB41L5,YIPF1,YIPF1,CMPK1,CMPK1,CMPK1,CMPK1,KTI12,KTI12,CMPK1,CMPK1,CMPK1,CMPK1,EPB41L5,EPB41L5,CMPK1,CMPK1,ROR1,ROR1,,,ZBTB43,ZBTB43,NFX1,NFX1,NFX1,NFX1,AKNA,AKNA,NFX1,NFX1,NFX1,NFX1,,,NFX1,NFX1,NOC3L,NOC3L,,,,,,,,,,,,,,,,,,,,
CLASP1,CLASP1,HSPB11,HSPB11,SPATA6,SPATA6,SPATA6,SPATA6,BTF3L4,BTF3L4,SPATA6,SPATA6,SPATA6,SPATA6,CLASP1,CLASP1,SPATA6,SPATA6,CACHD1,CACHD1,,,ZBTB34,ZBTB34,CREB3,CREB3,CREB3,CREB3,RC3H2,RC3H2,CREB3,CREB3,CREB3,CREB3,,,CREB3,CREB3,ZNF518A,ZNF518A,,,,,,,,,,,,,,,,,,,,
TSN,TSN,LRRC42,LRRC42,AGBL4,AGBL4,AGBL4,AGBL4,ZFYVE9,ZFYVE9,AGBL4,AGBL4,AGBL4,AGBL4,TSN,TSN,AGBL4,AGBL4,RAVER2,RAVER2,,,ZNF79,ZNF79,ZBTB5,ZBTB5,ZBTB5,ZBTB5,ZBTB6,ZBTB6,ZBTB5,ZBTB5,ZBTB5,ZBTB5,,,ZBTB5,ZBTB5,LCOR,LCOR,,,,,,,,,,,,,,,,,,,,
CNTNAP5,CNTNAP5,TMEM59,TMEM59,BEND5,BEND5,BEND5,BEND5,CC2D1B,CC2D1B,BEND5,BEND5,BEND5,BEND5,CNTNAP5,CNTNAP5,BEND5,BEND5,JAK1,JAK1,,,CIZ1,CIZ1,RORB,RORB,RORB,RORB,ZBTB26,ZBTB26,RORB,RORB,RORB,RORB,,,RORB,RORB,PCGF6,PCGF6,,,,,,,,,,,,,,,,,,,,
MAP3K2,MAP3K2,TCEANC2,TCEANC2,ELAVL4,ELAVL4,ELAVL4,ELAVL4,ORC1,ORC1,ELAVL4,ELAVL4,ELAVL4,ELAVL4,MAP3K2,MAP3K2,ELAVL4,ELAVL4,AK4,AK4,,,FUBP3,FUBP3,NFIL3,NFIL3,NFIL3,NFIL3,LHX2,LHX2,NFIL3,NFIL3,NFIL3,NFIL3,,,NFIL3,NFIL3,MXI1,MXI1,,,,,,,,,,,,,,,,,,,,
IWS1,IWS1,MRPL37,MRPL37,DMRTA2,DMRTA2,DMRTA2,DMRTA2,PRPF38A,PRPF38A,DMRTA2,DMRTA2,DMRTA2,DMRTA2,IWS1,IWS1,DMRTA2,DMRTA2,DNAJC6,DNAJC6,,,TTF1,TTF1,ZNF484,ZNF484,ZNF484,ZNF484,NR6A1,NR6A1,ZNF484,ZNF484,ZNF484,ZNF484,,,ZNF484,ZNF484,TCF7L2,TCF7L2,,,,,,,,,,,,,,,,,,,,
WDR33,WDR33,SSBP3,SSBP3,AL049637.2,AL049637.2,AL049637.2,AL049637.2,TUT4,TUT4,AL049637.2,AL049637.2,AL049637.2,AL049637.2,WDR33,WDR33,AL049637.2,AL049637.2,AL139294.1,AL139294.1,,,RXRA,RXRA,ZNF169,ZNF169,ZNF169,ZNF169,PBX3,PBX3,ZNF169,ZNF169,ZNF169,ZNF169,,,ZNF169,ZNF169,VAX1,VAX1,,,,,,,,,,,,,,,,,,,,
MZT2B,MZT2B,TTC4,TTC4,FAF1,FAF1,FAF1,FAF1,GPX7,GPX7,FAF1,FAF1,FAF1,FAF1,MZT2B,MZT2B,FAF1,FAF1,LEPROT,LEPROT,,,SNAPC4,SNAPC4,ZNF367,ZNF367,ZNF367,ZNF367,ZBTB43,ZBTB43,ZNF367,ZNF367,ZNF367,ZNF367,,,ZNF367,ZNF367,EMX2,EMX2,,,,,,,,,,,,,,,,,,,,
