IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
CHCHD2,HMGCS1,LYPLAL1,COP1,C1orf35,POGK,MZT2A,FDPS,AL513166.1,USP33,KCNH1,TARS2,MANF,STX6,RHOA,RAD54L2,PLEKHA6,SH3RF3,ODC1,GPR89B,,,EBF3,,ZIC2,,,,EMX2,DLX5,CTCF,PKNOX1,,,,,,,,KDM2A,,,,CSTB,,,,CSTB,,NDUFV3,,PDXK,,RRP1B,,,,,,CSTB
HIP1,VCAN,AIDA,BRINP2,FAM89A,MPC2,CXCR4,RUSC1,AL583808.1,NEXN,LPGAT1,SETDB1,ABHD6,SMG7,RBM6,NECTIN3-AS1,MFSD4A,C1QL2,KLHL29,PDE4DIP,,,SOX6,,OTX2,,,,NR4A1,FOXP2,NEUROD2,DACH2,,,,,,,,ATF7,,,,TRAPPC10,,,,TRAPPC10,,PKNOX1,,CSTB,,TRAPPC10,,,,,,TRAPPC10
CACNA2D1,CAMK4,FAM89A,RASAL2,CHRM3,NME7,THSD7B,ASH1L,SSX2IP,TTLL7,PROX1,CERS2,FEZF2,RNF2,GNAI2,CD200,AC119673.2,MGAT5,FKBP1B,HIST2H2BE,,,PAX6,,ZFP36L1,,,,HMGA2,NRF1,TCF4,SMARCA1,,,,,,,,ASCL1,,,,GATD3A,,,,GATD3A,,RRP1B,,AGPAT3,,GATD3A,,,,,,GATD3A
PPP1R9A,UBTD2,DISC1,NMNAT2,EXO1,C1orf112,TLK1,RIT1,COL24A1,DIPK1A,CEP170,PSMB4,AC084198.2,ODR4,RPL29,ATP6V1A,PPP2R5A,MCM6,ATRAID,AC244033.2,,,ZBTB16,,FOS,,,,NFYB,ST18,ZNF407,,,,,,,,,KLF12,,,,PFKL,,,,UBE2G2,,CSTB,,TRAPPC10,,UBE2G2,,,,,,PFKL
DENND2A,NSD1,LGALS8,MIR181A1HG,KIF26B,METTL18,PJVK,ARHGEF2,ODF2L,FNBP1L,RPS7,TUFT1,ZIC1,RO60,PTPRG,PODXL2,SPATA17,CXCR4,LBH,VPS45,,,PKNOX2,,ZNF75A,,,,RFX4,ZNF704,ZNF516,,,,,,,,,ZFHX2,,,,UBE2G2,,,,POFUT2,,TRAPPC10,,GATD3A,,PTTG1IP,,,,,,UBE2G2
CSMD1,CNOT6,KIF26B,CAMSAP2,RPS7,VAMP4,AC021851.1,SSR2,LRRC8D,MIR137HG,ITGB1BP1,THEM4,NAALADL2,CRB1,PPP4R2,EPHB1,DISP1,NXPH2,XDH,RPRD2,,,ETV6,,IRX5,,,,FOXN4,RUNX1T1,ZNF554,,,,,,,,,HIF1A,,,,SUMO3,,,,LSS,,GATD3A,,CFAP410,,ADARB1,,,,,,PTTG1IP
FGFR1,JARID2,RPS7,KIF21B,ID2,DNM3,PMS1,SEMA4A,BARHL2,SLC25A24,HS1BP3,ATP8B2,NDUFB5,MIR181A1HG,CDV3,IQCJ-SCHIP1,B3GALNT2,DYNC1I2,CALM2,ARNT,,,SOX5,,LHX1,,,,LHX5,SCRT1,HMG20B,,,,,,,,,MAX,,,,ADARB1,,,,MCM3AP,,PFKL,,UBE2G2,,POFUT2,,,,,,LSS
ARFGEF1,ID4,RNF144A,TIMM17A,RRM2,PIGC,C2orf88,SMG5,LINC02609,WDR47,AC096570.1,FDPS,DVL3,ZNF281,SLC25A36,SST,GREM2,HAT1,MSH6,MLLT11,,,NEUROD4,,PHB,,,,SOX21,SMARCA2,ZNF558,,,,,,,,,DPF3,,,,LSS,,,,PCNT,,UBE2G2,,PTTG1IP,,LSS,,,,,,MCM3AP
LAPTM4B,TUBB,TTC32,SRGAP2,DDX1,KLHL20,MYO1B,ISG20L2,RPL5,C1orf194,ITSN2,ASH1L,DGKG,CAMSAP2,RASA2,NSG1,KIF26B,MAP3K20,RPS27A,GABPB2,,,DDIT3,,FOXJ1,,,,ZIC2,RORB,ZNF562,,,,,,,,,FOXN3,,,,MCM3AP,,,,DIP2A,,SUMO3,,ADARB1,,MCM3AP,,,,,,PCNT
KHDRBS3,SYNCRIP,ATRAID,DYRK3,AC096570.1,RABGAP1L,HECW2,ARHGEF11,CCDC18-AS1,GSTM3,AC009228.1,YY1AP1,HES1,IPO9,PLCH1,CRMP1,SNTG2,BMPR2,CCT4,PIP5K1A,,,PAWR,,TGIF1,,,,ZFP36L1,NFIL3,ZNF665,,,,,,,,,MEIS2,,,,PCNT,,,,PRMT2,,PCBP3,,POFUT2,,PCNT,,,,,,DIP2A
GLIS3,CD24,LINC01833,PLXNA2,ATRAID,Z99127.1,HSPD1,KIRREL1,AL445928.2,KCND3,GALNT14,GON4L,PDE6B,SERTAD4,NLGN1,BOD1L1,IAH1,CNOT9,EMX1,POGZ,,,LHX5,,ZNF521,,,,ZNF770,PBX3,SMARCB1,,,,,,,,,SCAPER,,,,DIP2A,,,,,,LSS,,COL6A1,,DIP2A,,,,,,PRMT2
MPDZ,TRAF3IP2-AS1,AC012354.1,SERTAD4,ZFP36L2,AL591043.2,PPIL3,PEA15,VCAM1,CTTNBP2NL,LTBP1,KHDC4,KCTD8,DTL,IGF2BP2,KLHL5,NBAS,PID1,ANKRD36B,SNX27,,,ZIC2,,ZNF558,,,,ZNF423,LCOR,ZNF75D,,,,,,,,,ARNT2,,,,PRMT2,,,,,,MCM3AP,,FTCD,,PRMT2,,,,,,
GOLM1,QKI,PIGF,KCNH1,STON1,RASAL2,TRAK2,COPA,EXTL2,NBPF15,SIX3,SMG5,GABRA4,KCNK2,HES1,UBA6-AS1,FKBP1B,SEPTIN2,CREG2,CELF3,,,NPAS3,,ZNF441,,,,LHX1,MXI1,,,,,,,,,,TOX3,,,,,,,,,,PCNT,,LSS,,,,,,,,
BRINP1,AFDN,AC132153.1,SUSD4,RPS27A,ABL2,CREB1,F11R,AC093157.1,NBPF20,AC012354.1,RRNAD1,USP46,LIN9,SLIT2,CCNI,FAM228B,RAD18,MZT2A,GATAD2B,,,ZFP36L1,,JUNB,,,,ZNF521,VAX1,,,,,,,,,,ZFP90,,,,,,,,,,DIP2A,,MCM3AP,,,,,,,,
LHX2,TNRC18,OTX1,DNAH14,MIR217HG,ACBD6,NCL,NOS1AP,S1PR1,GPR89A,AC132153.1,ARHGEF11,DANCR,SNTG2,KCNIP4,ENOPH1,FAM228A,LHFPL4,ARL5A,ATP8B2,,,NR2F2,,ZNF93,,,,ZNF554,POU6F1,,,,,,,,,,NFAT5,,,,,,,,,,PRMT2,,DIP2A,,,,,,,,
PCDH15,ELMO1,AC012368.1,GALNT2,AC132153.1,XPR1,ECEL1,ALDH9A1,OLFM3,RNF115,LINC01122,PEA15,PARM1,PLEKHH2,RPL9,SNCA,ITSN2,SLC6A11,NR4A2,ADAR,,,ZNF423,,ZNF90,,,,ZNF558,ASCL1,,,,,,,,,,ZNF821,,,,,,,,,,,,,,,,,,,,
ANK3,CDK14,WDR92,GNG4,ARHGAP25,NMNAT2,LINC01237,UCK2,PSRC1,POLR3C,BCL11A,COPA,WDFY3-AS2,SLC4A5,N4BP2,GRIA2,AC009228.1,RAF1,RBMS1,TRIM46,,,TOX3,,ZNF486,,,,NR2F6,SMAD9,,,,,,,,,,ZFHX3,,,,,,,,,,,,,,,,,,,,
PDE3B,DOCK4,EMX1,RYR2,KCNIP3,SMG7,AC034195.1,POGK,SLC16A1,BCL9,LINC01828,UCK2,AP001816.1,AC022210.2,MOB1B,GPM6A,DYNC2LI1,LSM3,TBR1,HCN3,,,CBFB,,FOSB,,,,MEF2B,KLF12,,,,,,,,,,STAT5B,,,,,,,,,,,,,,,,,,,,
SOX6,WDR60,WDR54,ADSS,ANKRD36B,ODR4,NR1D2,VAMP4,NHLH2,GPR89B,ARHGAP25,POGK,LEF1,ANKRD36,SHROOM3,SLC25A4,ATP6V1E2,RARB,SSB,ASH1L,,,LHX1,,SIX5,,,,RFXANK,ZFHX2,,,,,,,,,,EZH1,,,,,,,,,,,,,,,,,,,,
PAX6,FDFT1,TCF7L1,FAM49A,VWA3B,AL136456.1,RPL29,DNM3,NBPF26,PDE4DIP,ANXA4,ATP1B1,AC097528.1,SPOPL,OSTC,MARCH6,RHOQ,TOP2B,ATP5MC3,YY1AP1,,,ZNF558,,ID1,,,,ZNF536,FOXN3,,,,,,,,,,SETBP1,,,,,,,,,,,,,,,,,,,,
APLP2,ELOC,ANKRD36B,NCOA1,EIF5B,CRB1,GLYCTK-AS1,RC3H1,EFNA4,SV2A,DCTN1,NME7,AC109927.1,FIGN,MAML3,BASP1,PPP1R21,NGLY1,HECW2,DAP3,,,ZNF844,,E2F1,,,,ZNF302,BCL11B,,,,,,,,,,ZNF532,,,,,,,,,,,,,,,,,,,,
NTM,SQLE,LINC01918,SLC5A6,MAP4K4,CAMSAP2,DNAH12,RABGAP1L,AC234582.1,VPS45,HTRA2,BLZF1,ZNF827,AC007405.1,RNF150,CERT1,ACYP2,LRRC3B,HSPD1,GON4L,,,ZNF20,,TFAP2C,,,,ZNF580,RFX7,,,,,,,,,,SALL3,,,,,,,,,,,,,,,,,,,,
SLC4A8,RABGAP1,MIR4435-2HG,CRIM1,LINC01965,NAV1,FAM107A,COP1,KLHDC9,MRPS21,KCMF1,VAMP4,PDGFC,GAD1,SMARCA5,SCAMP1,MTHFD2,NSUN3,HSPE1,SYT11,,,JUNB,,PPARA,,,,ZNF581,TCF12,,,,,,,,,,ZNF491,,,,,,,,,,,,,,,,,,,,
CD63,PSMB7,BCL2L11,KCNK12,RANBP2,IPO9,SLC25A26,ASTN1,AL596087.2,CDC42SE1,TCF7L1,DNM3,AHRR,SP9,RPS3A,TMEM167A,C2orf81,ALCAM,PPIL3,RIT1,,,NR2F6,,SOX3,,,,ZSCAN5A,ZNF609,,,,,,,,,,MEIS3,,,,,,,,,,,,,,,,,,,,
CRADD,FUBP3,CYP27C1,LINC01122,MIR4435-2HG,RNPEP,IMPG2,BRINP2,LRRN2,MLLT11,FER1L5,PIGC,LINC02196,ANKAR,MARCH1,VCAN,WDR54,NECTIN3,SUMO1,ARHGEF2,,,JUND,,,,,,ZNF497,SCAPER,,,,,,,,,,ZNF552,,,,,,,,,,,,,,,,,,,,
RMST,ABL1,PTPN18,BCL11A,MZT2A,KLHL12,ITGB5,RASAL2,CDK18,GABPB2,ANKRD39,SUCO,AC012640.2,RFTN2,CBR4,NREP,AC008067.1,ZBTB20-AS5,EEF1B2,SMG5,,,PBX4,,,,,,ZNF584,TOX3,,,,,,,,,,SCRT2,,,,,,,,,,,,,,,,,,,,
HSP90B1,EIF4G2,CXCR4,WDPCP,TMEM163,LRRN2,AC010210.1,RALGPS2,AC119673.2,SEMA6C,MAP4K4,PRDX6,ISL1,AC019211.1,ADCY2,DMXL1,FAHD2B,LINC00903,IRS1,ARHGEF11,,,ZNF536,,,,,,MZF1,NFATC3,,,,,,,,,,C20orf194,,,,,,,,,,,,,,,,,,,,
UFM1,LRRC4C,AC114763.1,LGALSL-DT,MAP3K19,SERTAD4,CDV3,XPR1,EIF2D,POGZ,POU3F3,GAS5,GTF2H2,EPHA4,CCT5,KIF3A,ANKRD36B,MCM2,NCL,CADM3,,,ZNF780A,,,,,,ID1,ZFP90,,,,,,,,,,MAFB,,,,,,,,,,,,,,,,,,,,
WDFY2,GSTP1,ZEB2,PCBP1-AS1,LYPD6,KCNK2,ANKUB1,STX6,SPATA17,CELF3,ST6GAL2,EDEM3,ARHGEF28,SEPTIN2,NIPBL,AC011346.1,TSGA10,H1FX,PTMA,IGSF8,,,NPAS1,,,,,,TFAP2C,ZNF821,,,,,,,,,,ZHX3,,,,,,,,,,,,,,,,,,,,
GPC6,PPP6R3,AC007364.1,SLC4A5,PRPF40A,KMO,GPR149,NMNAT2,LYPLAL1,RIIAD1,AC016994.1,KCNT2,AC010260.1,THAP4,EDIL3,DCTN4,MIR4435-2HG,PFN2,ECEL1,PEA15,,,TEAD2,,,,,,ZMAT5,ZFHX3,,,,,,,,,,MYT1,,,,,,,,,,,,,,,,,,,,
UGGT2,TMEM123,KCNJ3,POLR1A,PLA2R1,PLD5,MLF1,RNF2,IARS2,TDRKH,CNTNAP5,MIR181A1HG,MCTP1,ING5,TMEM161B-AS1,LARP1,BCL2L11,CLRN1-AS1,LRRN1,COPA,,,ZNF787,,,,,,,THRA,,,,,,,,,,GABPA,,,,,,,,,,,,,,,,,,,,
PCCA,GUCY1A2,TBR1,ANKRD36,TBR1,EIPR1,WDR49,LINC01351,EPHX1,SNAPIN,WDR33,KIF14,GLRX,KCNH8,CHD1,PANK3,C2orf27A,C3orf70,SRGAP3,PCP4L1,,,ZNF550,,,,,,,RARA,,,,,,,,,,BACH1,,,,,,,,,,,,,,,,,,,,
MDGA2,DDX6,FIGN,TSGA10,DPP4,HADHA,ECT2,MIR181A1HG,HIST3H2A,GATAD2B,CCNT2-AS1,CAMSAP2,TRIM36,MITF,FBXL17,NSD1,GPR39,MB21D2,JAGN1,ATF6,,,DNMT3B,,,,,,,L3MBTL4,,,,,,,,,,PKNOX1,,,,,,,,,,,,,,,,,,,,
CALM1,C12orf57,METAP1D,AC079447.1,CCDC173,CAMKMT,KCNMB2-AS1,CAMSAP2,COA6,TPM3,GTDC1,NAV1,TNFAIP8,ALCAM,FER,TUBB2A,ARHGAP15,ZNF595,RPL32,PBX1,,,TFAP2C,,,,,,,ZNF519,,,,,,,,,,SREBF2,,,,,,,,,,,,,,,,,,,,
SNHG14,TUBA1A,SP3,NPAS2,ATP5MC3,LINC01833,BCL6,IPO9,B3GALNT2,HCN3,RND3,IPO9-AS1,VDAC1,NECTIN3-AS1,AFF4,RIPOR2,UPP2,PPP2R2C,RPL15,POU2F1,,,ZMAT5,,,,,,,ZNF532,,,,,,,,,,AFF2,,,,,,,,,,,,,,,,,,,,
AC110023.1,HNRNPA1,WIPF1,LYPD6B,NFE2L2,SIX3-AS1,HS3ST1,RNPEP,GREM2,RUSC1,UBE2E3,UBE2T,NEUROG1,ZBTB20,RPS14,ATAT1,CCDC148,PROM1,EOMES,NME7,,,SOX3,,,,,,,ZNF491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIF5A,PHLDA1,ATP5MC3,RND3,NEUROD1,SIX3,N4BP2,ARL8A,RPS7,ASH1L,LINC01934,LRRN2,SLC25A48,RPN1,NPM1,NUDT3,PKP4,DHX15,RBMS3,KIFAP3,,,,,,,,,,ZNF430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCDC144NL-AS1,MGAT4C,CHROMR,CACNB4,ITPRID2,ASB3,G3BP2,ATP2B4,PDIA6,YY1AP1,NEUROD1,RBBP5,CXXC5,SOX2,BOD1,PHF3,TBR1,TBC1D1,CMTM8,VAMP4,,,,,,,,,,ZNF714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH20,CDK17,PRKRA,PKP4,GULP1,AC012358.3,AC104827.1,MDM4,MYCN,DAP3,STK17B,RASSF5,SRA1,YEATS2,SFXN1,SNX14,SCN2A,KIT,RPSA,DNM3,,,,,,,,,,ZNF431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOK6,ASCL1,UBE2E3,SCN9A,HSPE1,AC007100.1,UNC5C,SYT14,LINC01376,SYT11,SUMO1,PFKFB2,PCDHB5,SST,RACK1,AKIRIN2,RAPGEF4,CEP135,RPL14,PIGC,,,,,,,,,,ZNF100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAZ1,RFX4,NEUROD1,BBS5,NOP58,AC009501.3,CXXC4,SLC35F3,WDR35,ARHGEF2,CNPPD1,EPRS,PCDHB16,AC093898.1,SLC22A23,CD24,ITPRID2,SEPTIN11,GNAI2,ANKRD45,,,,,,,,,,ZNF254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYO9B,KLF12,PDE1A,PGAP1,EEF1B2,SLC4A5,LINC01091,SNTG2,DTNB,MEX3A,STK16,MARC1,AC008415.1,ZCCHC4,LYRM4,FAM229B,LINC01473,MCUB,RPL29,KLHL20,,,,,,,,,,DPF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF565,PCNX4,AC021851.2,FAM117B,FZD5,MOGS,AC097528.1,AC009228.1,HADHB,PAQR6,NCL,SUSD4,HIGD2A,LINC02506,NRN1,SLC35F1,NRP2,ELOVL6,NT5DC2,RC3H1,,,,,,,,,,POU2F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CECR2,HIF1A,AC017101.1,ADAM23,BARD1,ZNF2,AC109927.1,ALK,CENPA,ARHGEF11,ECEL1,CNIH3,PRR7,LIMCH1,ID4,SERINC1,ADAM23,MAD2L1,SPCS1,RABGAP1L,,,,,,,,,,MEIS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID1,SIPA1L1,STAT1,MARCH4,FN1,LINC00342,NOCT,PRKCE,ATRAID,AIM2,AC012063.1,DNAH14,AL033523.1,CEP135,HIST1H4C,TULP4,AC008269.1,CLGN,FEZF2,COP1,,,,,,,,,,ZNF611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDAC8,BCL11B,ERBB4,IGFBP5,IGFBP2,ANKRD36,MGST2,EML6,CAD,CADM3,COPS8,SDE2,CAP2,LINC02232,CLIC1,PHTF2,ERBB4,SCRG1,THOC7,ASTN1,,,,,,,,,,SCRT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-ND2,ZNF609,IGFBP2,AC007563.2,PAX3,AC092683.1,INPP4B,MEIS1-AS2,WDR43,ATP1A2,AC005237.1,RYR2,PPP1R11,SEPTIN11,RPS18,PEG10,IGFBP2,CENPU,RPL24,BRINP2,,,,,,,,,,C20orf194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-ND4L,SBK1,ECEL1,EPHA4,EFHD1,LONRF2,AC107223.1,PPP3R1,LCLAT1,COPA,SUMF1,EFCAB2,C6orf47,TET2,SRSF3,DLX6-AS1,AC007563.2,PLCXD3,CHCHD6,RASAL2,,,,,,,,,,INSM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-ND5,NETO2,HDAC4,AGFG1,AC019068.1,RNF149,SH3D19,SLC4A5,XDH,PFDN2,AC023480.1,SMYD3,CLIC1,MCUB,BICRAL,DLX5,DIRC3,CENPH,TRH,ABL2,,,,,,,,,,MAFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LINC01572,LRRN1,RAMP1,RAMP1,ST6GAL2,MND1,LINC01102,DYNC2LI1,NDUFS2,ARL8B,COLEC11,SNHG32,TLL1,RPL7L1,PRKAR2B,ECEL1,TENT2,CDV3,XPR1,,,,,,,,,,ZHX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NXN,SEC13,PLCL2,LRRN1,SH3RF3,GALNTL6,PANTR1,MCFD2,PBX1,EMC3,RRM2,NELFE,AC027627.1,MYO6,FAM3C,SNORC,MAN2A1,RNF7,STX6,,,,,,,,,,ZBTB46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TXNDC17,ZNF385D,KCNH8,RPL32,AC012442.2,GALNT7,C1QL2,STPG4,POU2F1,TOP2B,GREB1,HLA-DPB1,LINC01060,PHIP,CHCHD3,AC012063.1,CAMK4,MLF1,CACNA1E,,,,,,,,,,MYT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHD3,SLC4A7,AC092422.1,SGO1,INHBB,TENM3-AS1,INHBB,RPS27A,MPC2,LINC01980,GEN1,UQCC2,SNHG18,HMGN3,TCAF1,AC005237.1,CHSY3,MECOM,RGS8,,,,,,,,,,GABPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TMEM97,EOMES,RARB,NR1D2,LYPD1,LINC02196,GPR39,CFAP36,GPR161,CMC1,RBKS,MTCH1,WDR70,RNGTT,ZC2HC1A,LMCD1-AS1,SPOCK1,RPL39L,NMNAT2,,,,,,,,,,BACH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH2,ACVR2B,OSBPL10,EOMES,NCKAP5,ADCY2,LYPD1,REL,ATP1B1,ENTPD3-AS1,FOSL2,OARD1,NIM1K,PNRC1,STMN2,SRGAP3,NDFIP1,HES1,SMG7,,,,,,,,,,PKNOX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBX1,EIF1B-AS1,GPD1L,TGFBR2,CSRNP3,CDH18,MBD5,CCT4,C1orf112,CTNNB1,NDUFAF7,TOMM6,FST,FUT9,RUNX1T1,TTLL3,PTTG1,NCBP2AS2,RGL1,,,,,,,,,,PCBP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKA2,EIF1B,POMGNT2,RPL14,ZNF804A,LIFR,KCNJ3,OTX1,KIFAP3,HIGD1A,THUMPD2,TMEM30A,ZBED3-AS1,PNISR,ANKRD46,SYN2,GABRA1,RPL35A,AL096803.2,,,,,,,,,,ARX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDX5,ZNF621,PTPRG,ZNF852,AC009315.1,CDC20B,SCN3A,LGALSL,VAMP4,ZNF660,RHOQ,MYO6,SLF1,GRIK2,GNAQ,MKRN2OS,GABRG2,SORCS2,RO60,,,,,,,,,,AFF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CACNG4,ZKSCAN7,SYNPR,KIF15,FSIP2,CCNO,CERS6,AC007389.1,DNM3,NDUFAF3,TTC7A,COQ3,NSD1,SAMD3,ERCC6L2,CAND2,FBLL1,SLIT2,CRB1,,,,,,,,,,MECP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PITPNC1,CACNA2D2,TAFA1,LIMD1,GTF3C3,AC112206.2,GAD1,PNO1,KLHL20,TMEM115,PPP1R21,HEBP2,FAM153CP,RPS12,TMEFF1,GRIP2,UBTD2,SMIM20,CAMSAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRSF2,SELENOK,UBA3,CDC25A,FAM117B,GTF2H2,DLX2,ARHGAP25,RC3H1,MAPKAPK3,CHAC2,ABRACL,HIST1H1C,TMEM181,BRINP1,SH3BP5,GCNT2,KLF3,KIF21B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACTG1,FEZF2,FOXP1,RHOA,C2orf80,LUCAT1,SP9,EMX1,RABGAP1L,SPCS1,SPTBN1,RGS17,HIST1H2BD,PRKN,RABGAP1,NEK10,PHACTR1,RPL9,IPO9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZNF532,ADAMTS9,LINC00960,RPL29,SNHG31,RGMB,AC009315.1,C2orf81,COP1,FEZF2,AC012358.3,NXPH1,HCG17,SDK1,FAM107B,EOMES,HIST1H2BH,OCIAD2,ARL8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNN2,LRIG1,ROBO2,FEZF2,AC067956.1,SLCO6A1,NAB1,WDR54,ASTN1,LRIG1,PNO1,THSD7A,C2,EIF2AK1,CCAR1,EXOG,DST,NMU,PPP1R12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TLE5,GBE1,NECTIN3-AS1,ADAMTS9,ATP2B2,LINC00491,RFTN2,TCF7L1,BRINP2,SUCLG2,PCYOX1,ETV1,TRERF1,HDAC9,HK1,TTC21A,TTK,AMBN,KDM5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SMARCA4,CADM2,LSAMP,LRIG1,OSBPL10,REEP5,CARF,FER1L5,STX6,EBLN2,BOLA3,CRPPA,ELOVL5,GLI3,PPP3CB,EIF1B-AS1,SYNCRIP,G3BP2,ADORA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZNF428,PROS1,LINC00903,RPL24,TCAIM,SEMA6A,PPARG,TMEM131,RGS8,ROBO2,SLC4A5,CYCS,COL9A1,COA1,VDAC2,TMEM42,ANKRD6,UNC5C,ATP2B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CST3,CRYBG3,AC092691.1,LSAMP,CAMKV,SEMA6A-AS1,WNT7A,UNC50,NMNAT2,EPHA3,MGAT4A,PPP1R17,ZNF292,CHCHD2,NUTM2A-AS1,PTPN23,PREP,ADH5,PIK3C2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCOA3,ST3GAL6,RPN1,AC083906.3,SEMA3F-AS1,RAD50,SH3BP5,MRPS9,RGL1,PROS1,SLC9A2,BLVRA,ANKRD6,AC211433.1,LCOR,KLHDC8B,CD24,H2AFZ,TMCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNAS,DCBLD2,RASA2,NUDT16,CACNA2D3,CYSTM1,KCNH8,AC012360.3,RO60,ARL13B,CBWD2,CHCHD2,CD24,HIP1,INA,NPRL2,SLC35F1,LEF1,PLXNA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP001347.1,LNP1,MED12L,EPHB1,CADPS,SRA1,AC092422.1,NPHP1,B3GALT2,CRYBG3,AMER3,SRI,CDK19,CACNA2D1,INPP5F,PHF7,EYA4,NEUROG2,SYT14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HSPA13,TMEM45A,GPR149,AC092957.1,CHMP2B,PCDHB5,LRTM1,NIFK,CRB1,ST3GAL6,MCM6,GNGT1,SLC35F1,ANKIB1,EIF4G2,GLT8D1,MYB,NDST4,SERTAD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NRIP1,RPL24,IQCJ-SCHIP1,ZIC1,NECTIN3-AS1,PCDHB16,NECTIN3-AS1,HS6ST1,DENND1B,AC091212.1,LRP1B,LAMTOR4,GJA1,KCND2,LUZP2,DNAH12,HIVEP2,AC109927.1,ESRRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIR99AHG,IFT57,LINC01322,GYG1,RPN1,RBM27,RPN1,ARHGEF4,CAMSAP2,PCNP,NEB,GNB2,PEX3,RBM33,LRRC4C,FHIT,ACAT2,AC107223.1,MARK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
