IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
MYO9B,NETO2,PRKRA,PGAP1,MAP3K19,CACNA2D3,LINC02196,ATP2B4,ATRAID,HCN3,LRIG1,FOSL2,UQCC2,CDK19,FER,AKIRIN2,SH3BP5,SEM1,RPL14,ARHGEF2,,,,,PPARA,,,,MZF1,ZFP90,,,,,,,,,,GABPA,,,,,,,,,,PCNT,,,,,,,,,,
MID1,LINC01572,NEUROD1,ADAM23,LYPD6,CADPS,CDH18,MDM4,WDR43,RUSC1,EBLN2,PPP1R21,MTCH1,SLC35F1,RPS14,CD24,EOMES,LHFPL3,GNAI2,SMG5,,,,,SOX3,,,,ID1,THRA,,,,,,,,,,BACH1,,,,,,,,,,DIP2A,,,,,,,,,,
MT-ND2,NXN,PDE1A,IGFBP5,PRPF40A,NECTIN3-AS1,CDC20B,SNTG2,LCLAT1,ASH1L,ROBO2,CHAC2,OARD1,PEX3,NPM1,SLC35F1,TTC21A,FOXP2,RPL29,ARHGEF11,,,,,,,,,ZMAT5,RARA,,,,,,,,,,PKNOX1,,,,,,,,,,PRMT2,,,,,,,,,,
MT-ND5,CHD3,AC021851.2,AGFG1,TBR1,RPN1,GTF2H2,AC009228.1,DYNC2LI1,YY1AP1,ARL13B,AC012358.3,COQ3,PHACTR2,BOD1,SERINC1,EIF1B-AS1,MDFIC,FEZF2,CADM3,,,,,,,,,,L3MBTL4,,,,,,,,,,SREBF2,,,,,,,,,,,,,,,,,,,,
,TMEM97,STAT1,RAMP1,ATP5MC3,NME9,RGMB,ALK,STPG4,SYT11,ST3GAL6,PCYOX1,THSD7A,UTRN,SFXN1,DLX6-AS1,TMEM42,TES,THOC7,IGSF8,,,,,,,,,,ZNF532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH2,ERBB4,KCNH8,NFE2L2,PIK3CB,SEMA6A,PRKCE,RPS27A,ARHGEF2,AC091212.1,SLC4A5,ETV1,CCZ1,RACK1,DLX5,KLHDC8B,STRIP2,RPL24,PEA15,,,,,,,,,,ZNF491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBX1,ECEL1,AC092422.1,NEUROD1,ERICH6-AS1,PCDHB5,EML6,CFAP36,PAQR6,AC026341.1,SLC9A2,CYCS,DNAH11,NRN1,PRKAR2B,TAFA1,NRF1,TRH,COPA,,,,,,,,,,ZNF430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDX5,LRRN1,RARB,GULP1,LINC01322,SLIT3,SLC4A5,OTX1,ARHGEF11,NDUFB4,CBWD2,PPP1R17,WIPF3,ID4,TCAF1,AC026341.1,LINC00599,RNF7,PBX1,,,,,,,,,,ZNF714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PITPNC1,SLC4A7,SYNPR,FN1,ZNF721,MTCH1,LINC01102,LGALSL,CADM3,SLC12A8,MCM6,BLVRA,FKBP14,CLIC1,STMN2,AC092969.1,MSRA,MECOM,POU2F1,,,,,,,,,,ZNF254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZNF532,EOMES,TAFA1,PAX3,LINC01182,NT5DC1,GPR39,AC007389.1,PBX1,TIPARP,NEB,CHCHD2,ELMO1,RPL7L1,RUNX1T1,PLCH1,DPYSL2,NCBP2AS2,KIFAP3,,,,,,,,,,DPF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TLE5,EIF1B,FOXP1,EFHD1,LINC02506,SAMD5,MBD5,ARHGAP25,MPC2,VEPH1,GALNT13,GNGT1,AC006001.2,HMGN3,ANKRD46,AC092944.1,FAM110B,SORCS2,VAMP4,,,,,,,,,,POU2F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CST3,SELENOK,ROBO2,AC019068.1,NIPAL1,AL033504.1,SCN3A,EMX1,GPR161,PEX5L,SCN1A-AS1,LAMTOR4,DLX6,RNGTT,GNAQ,PEX5L,AC067773.1,SLIT2,DNM3,,,,,,,,,,MEIS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNAS,FEZF2,NECTIN3-AS1,RAMP1,SNCA,AC007091.1,GAD1,C2orf81,ATP1B1,PIGG,ZNF385B,NDUFA5,DLX5,PNRC1,BRINP1,P3H2,ZHX2,SMIM20,ANKRD45,,,,,,,,,,SCRT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP001347.1,ADAMTS9,LSAMP,EOMES,CXXC4-AS1,COBL,DLX2,WDR54,C1orf112,FGFR3,ICA1L,PLXNA4,TRIM4,GRIK2,PPP3CB,FGFR3,SLA,KLF3,KLHL20,,,,,,,,,,INSM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HSPA13,LRIG1,LINC00903,KIF15,MCUB,CHCHD2,SP9,TCF7L1,KIFAP3,KIAA0232,TTLL4,TTPA,PILRB,SAMD3,NUTM2A-AS1,SORCS2,DENND4C,RPL9,RC3H1,,,,,,,,,,MAFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATP5PF,GBE1,AC092691.1,RHOA,ABHD18,ABHD11,AC009315.1,TMEM131,VAMP4,OCIAD2,CYP27A1,BHLHE22,LHFPL3,RPS12,LCOR,HS3ST1,SLC27A4,OCIAD2,RABGAP1L,,,,,,,,,,ZHX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APP,CADM2,RPN1,RPL29,TMEM184C,AC003991.1,NAB1,MRPS9,DNM3,CCNG2,THAP4,NECAB1,ERI1,TMEM181,INA,AC098829.1,TET1,NMU,COP1,,,,,,,,,,ZBTB46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCT8,CRYBG3,MED12L,FEZF2,FAT1,GNGT1,CARF,NPHP1,KLHL20,LEF1,LHFPL4,UQCRB,SLC25A37,PRKN,INPP5F,C1QTNF7,ZNF503-AS2,AMBN,ASTN1,,,,,,,,,,MYT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BACH1,ST3GAL6,IQCJ-SCHIP1,LRIG1,ANKH,FBXL13,SH3BP5,MZT2A,RC3H1,FAT4,ITGA9,ZFPM2,WRN,SDK1,EIF4G2,PACRGL,FBXW4,G3BP2,BRINP2,,,,,,,,,,GABPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIAM1,DCBLD2,TBL1XR1,RPL24,LINC02223,AC006148.1,LRTM1,NCKAP5,RABGAP1L,SMARCA5,MYRIP,ZFPM2-AS1,TNC,EIF2AK1,LUZP2,GABRA2,ADD3,UNC5C,RASAL2,,,,,,,,,,BACH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOD1,RPL24,C3orf70,LSAMP,TTC23L,AC009264.1,NECTIN3-AS1,AC010974.2,COP1,HPF1,PFKFB4,KHDRBS3,ENTPD1-AS1,GLI3,LRRC4C,SRD5A3,MXI1,LEF1,XPR1,,,,,,,,,,PKNOX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAXBP1,LINC02614,MB21D2,NUDT16,LIFR-AS1,VIPR2,RPN1,LYPD6B,ASTN1,MRPL36,IFRD2,LINC02055,VAX1,COA1,GNG3,EPHA5,HSPA12A,NDST4,STX6,,,,,,,,,,PCBP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SON,SPSB4,DLG1,AC092957.1,PLCXD3,MCPH1,TMCC1,TBR1,BRINP2,SRD5A1,RASSF1,ZFP41,CAT,CHCHD2,RTN3,LARP1B,ENO4,AC109927.1,NMNAT2,,,,,,,,,,ARX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRYZL1,AC092944.1,UVSSA,ZIC1,MEF2C,DUSP4,TNIK,SSB,STX6,LINC02112,GNL3,ZNF16,LRRC4C,KCND2,NRXN2,SCOC,SHTN1,AC107223.1,RGL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITSN1,VEPH1,LDB2,GYG1,ARSK,TEX15,FGF12,PJVK,NMNAT2,CCT5,CACNA1D,NFIB,LMO3,RPS20,CNIH2,TTC29,MDK,RPS3A,CRB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATP5PO,PTX3,KLF3-AS1,ARHGEF26,NREP,KHDRBS3,LDB2,LINC01934,RGL1,MARCH11,PXK,SH3GL2,COL2A1,CHD7,FCHSD2,MAP9,CELF1,MRPL36,CAMSAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MRPS6,KCNMB2,APBB2,MLF1,DTWD2,LY6E,AC093898.1,NEUROD1,RO60,C1QTNF3,KCTD6,STOML2,TFCP2,CSPP1,PGM2L1,WDR17,RBM4B,CCT5,KIF21B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MORC3,KCNMB2-AS1,GABRB1,PEX5L,NME5,ZNF16,CCDC149,FAM171B,B3GALT2,RAI14,PRICKLE2,ABCA1,ASCL1,RPL7,MAP6,TENM3,RDX,AC106798.1,ARL8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TTC3,EEF1AKMT4,CEP135,ETV5,PPP2R2B,VLDLR,ATP10D,PPIL3,CRB1,RGS7BP,EOGT,PTGR1,CDK8,RPL30,SCN3B,C4orf47,C12orf57,GTF2H2,ATP2B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DYRK1A,MAGEF1,SLC4A4,HES1,GABRB2,SH3GL2,AC093765.3,FZD7,CAMSAP2,ADAMTS6,LINC00960,AC006450.3,WASF3,EIF3E,KIF21A,LINC02112,TUBA1B,BTF3,PIK3C2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRWD1,FGFR3,FRAS1,NCAPG,ZSCAN23,ADAMTSL1,GPM6A,PARD3B,KIF21B,AC112206.2,CD47,RPL12,ELF1,EXT1,KIF5A,AC091946.1,ATP5F1B,HOMER1,TMCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HMGN1,KLF3,HERC3,RPL9,BICRAL,C9orf24,TRAPPC11,EEF1B2,IPO9,AC106798.1,DZIP3,ST6GALNAC4,AL162493.1,EEF1D,ASCL1,AMACR,SOCS2,RPS23,SYT14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GET1,LIMCH1,FAM13A,RBM47,HTR1E,CEMIP2,BASP1-AS1,SPAG16,ARL8A,GTF2H2,NECTIN3-AS1,SH3GLB2,OIP5,RPL8,COX6A1,TTC23L,COX6A1,VDAC1,SERTAD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PDE9A,USP46,GPRIN3,KCTD8,FUT9,HSDL2,KDM3B,DNPEP,PPP1R12B,F2R,SPICE1,TMEM141,CRAMP1,PTPRD,KPNA3,AC112206.2,DNAH10OS,RPS14,ESRRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RRP1B,NMU,CCSER1,GABRA4,UFL1-AS1,ZDHHC12,GEMIN5,IRS1,RABIF,AP3B1,AC092902.4,ARRDC1-AS1,AC012645.1,RPS6,SLAIN1,AC106798.1,AL354809.1,SLIT3,FBXO28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSTB,PRDM8,PPP3CA,KIT,CD24,CACFD1,NSD1,ARMC9,ATP2B4,LINC02488,NCK1,ZNF487,AC092142.1,MOB3B,UPF3A,PIK3R1,LRCH1,NPM1,GNG4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIP2A,TMEM150C,ELOVL6,EPHA5,ARHGAP18,PIP4K2A,AC106795.3,ECEL1,NFASC,LINC02144,ERICH6-AS1,AL442003.1,AC005726.1,DENND1A,PSMC6,GTF2H2,KLF12,BOD1,LYST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRMT2,PTPN13,RAB33B,EPHA5-AS1,NMBR,TSPAN4,NRSN1,EIF4E2,CNTN2,TMEM161B-AS1,GFM1,PDLIM1,LRRC37A,RPL12,EXOC5,HOMER1,AL162493.1,RACK1,RGS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SH3BGRL,PDLIM5,MSMO1,PARM1,LINC01277,AC132192.1,HLA-B,ACKR3,LINC01717,LINC02060,MCF2L2,NDUFB8,ARL17A,RPL7A,DAAM1,ACOT12,SLITRK6,NRN1,CEP170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FHL1,UNC5C,BASP1-AS1,G3BP2,GRM1,NAV2,CD24,GPC1,SYT14,LINC00461,FGF12,CASC2,RAB31,EHMT1,RTN1,MARCH3,SOX1-OT,TMEM14C,AKT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRMT10A,LINC02223,PRKG2,CCDC170,AC107886.1,TRAF3IP2-AS1,SNED1,SERTAD4,GLRX,TNK2,MGMT,MIR924HG,VIM,BCL11B,PCDHA5,SOX1,CARMIL1,EFCAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENPEP,HMGCS1,UNC5C,PACRG,CCDC34,AL590550.1,AC005237.1,VASH2,RGMB,DLG1,CALY,CU638689.4,NEBL,MEIS2,AC005753.2,RTN1,SNHG32,MYT1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NDST3,ANKRD55,DKK2,GLCCI1,AL358944.1,SLC35F1,SRGAP3,ESRRG,AC021086.1,DGKQ,IFITM3,AP001347.1,ZEB1,NGRN,KCTD16,HIF1A,RPS18,KIDINS220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TBC1D9,MAP3K1,LEF1,ELMO1,LMO2,AL138828.1,RPL32,MARK1,YTHDC2,MRFAP1L1,CD151,HSPA13,CTNNA3,ATP6V0C,STK32A,LINC02301,HMGA1,LPIN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SMARCA5,PDE4D,AC023886.1,VSTM2A,FAM111B,VIP,RPL15,SUSD4,CCDC112,ABLIM2,TAF10,NRIP1,ANAPC16,GNAO1,AC011346.1,FAM189A1,RPL10A,FAM49A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SFRP2,MAST4,NDST3,GNAI1,CCND1,CCZ1,RBMS3,GNG4,CTNNA1,LDB2,AC132192.1,USP25,RPS24,TERF2IP,KCNIP1,UNC13C,MTCH1,RHOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADCY2,FCHO2,AC109927.1,DLC1,RPS3,GLCCI1,TGFBR2,FMN2,AC008415.1,AC093898.1,LRRC10B,MIR99AHG,EIF3A,COTL1,NRN1,HACD3,OARD1,KCNK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CDH12,HMGCR,AC139720.1,WRN,CTSC,ICA1,RPL14,CEP170,DUSP1,KCNIP4,CORO1B,CXADR,LDLRAD3,RABEP1,TMEM14C,UBE2Q2,TOMM6,ALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CDH6,ZBED3-AS1,NR3C2,PENK,AP000936.1,TMEM196,EXOSC7,AKT3,RACK1,LINC02506,RAB38,MRPL39,KDM2A,CHD3,SYCP2L,ST8SIA2,RPL7L1,NRXN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PDZD2,VCAN,RPS3A,AC067773.1,SLC37A4,WIPF3,DALRD3,MYT1L,GMDS-DT,WDR19,CTSC,ATP5PF,RPS3,VAMP2,DTNBP1,ELOB,TPBG,AC092567.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADAMTS6,AC008591.1,MND1,PKIA-AS1,ADAMTS20,DYNC1I1,IMPDH2,SOX11,SLC22A23,APBB2,ARHGAP42,GABPA,TENM4,CDK5R1,ACOT13,SHISA9,RRAGD,PELI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC112206.2,CHSY3,LRAT,AC009812.1,RASSF3,DLX6-AS1,QARS,CMPK2,EEF1E1,CENPC,TRPC6,APP,RPS25,THRA,SNHG32,IGSF6,COQ3,MEIS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC106798.1,RAPGEF6,FSTL5,ANKRD46,AC027288.3,DLX6,GNAI2,KIDINS220,CASC15,MANBA,AP003049.2,USP16,ARHGAP32,ARL4D,TNXB,AC012645.1,WASF1,AAK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GTF2H2,MIR3936HG,F11-AS1,PHF24,RMST,DLX5,RPL29,LPIN1,NBAT1,USP53,OAF,CCT8,GAPDH,MAPT,RPS10-NUDT3,ORC6,HDDC2,SLC4A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC093298.2,SPOCK1,AHRR,MAMDC2,BTBD11,FDFT1,FEZF2,RHOB,RIPOR2,PCDH10,B3GAT1,BACH1,PLEKHA5,PITPNC1,PACSIN1,TOX3,CENPW,LRRTM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC124854.1,NR3C1,FBXL7,CENPP,LHX5,HGSNAT,LRIG1,KIF3C,ZNRD1,LRBA,PIANP,TIAM1,SOX5,VAPA,OARD1,HERPUD1,RSPO3,CTNNA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NR2F1-AS1,GABRB2,CDH18,GABBR2,LHX5-AS1,PAG1,IFT57,KCNK3,DDR1,UBE2QL1,YBX3,SCAF4,CCDC91,CELF5,AL355612.1,WWOX-AS1,CCN2,REEP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NR2F1,UBTD2,CDH6,SHLD2,TPTE2,ZHX1,MAATS1,DPYSL5,CLIC1,NSUN2,ZCRB1,MIS18A,SINHCAF,RAB3A,SH3BGRL2,CDH13,RPS12,ANKRD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SLF1,NSD1,OSMR-AS1,CPEB3,MIPEP,SLC27A4,CDV3,ALK,RNF5,PRKAA1,KCNC2,URB1,SCAF11,APLP1,SMIM8,PLXDC1,AL445123.2,NPAS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PAM,GMDS,ITGA2,ENTPD1-AS1,AL354809.1,BMPR1A,RNF7,LBH,HLA-DPB1,NIM1K,CFAP54,SYNJ1,RPL41,TTC9B,EPHA7,STAT5B,DGKB,LINC01102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EFNA5,ATXN1,GTF2H2,DNAJC24,DNAJC15,CPEB3,CHST2,NRXN1,PACSIN1,SGTB,LHX5,PAXBP1,NACA,PLD3,UFL1,AC100793.4,SNX10,AC018730.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FER,CPNE5,RPS23,LRRC4C,AL356295.1,LGI1,PLCH1,EML6,OARD1,CERT1,LHX5-AS1,IFNAR2,CDK4,NOVA2,GPR63,ARL17A,CHCHD2,SH3RF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PGGT1B,FOXP4,EDIL3,CHST1,GPC5,ENTPD1-AS1,MLF1,CCDC88A,RPL7L1,AC114316.1,DYNLL1,IL10RB,HMGA2,CALM3,AL513550.1,SKA2,PDAP1,AMER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEMA6A,ADGRB3,EPB41L4A,PGM2L1,NOVA1,CCKBR,WDR49,KIAA1841,SRF,EFNA5,DNAJC15,IFNAR1,NAP1L1,MAP1LC3A,MFSD4B,BRIP1,LAMB1,KCNH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TNFAIP8,SEC63,AC010261.2,DLG2,AL049828.2,SBF2,ETV5,MEIS1,TENT5A,MARCH3,PCDH9,IFNGR2,LINC01619,GDAP1L1,NCOA7,AC005972.3,AC009264.1,AC011900.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LINC02240,NKAIN2,TNFAIP8,THY1,OTX2,AC068205.1,HES1,CNRIP1,AL591519.1,AC008591.1,PCDH9-AS2,GART,RMST,GNAS,SAMD3,SOX9,CCDC25,AC019197.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEGF10,UTRN,EGR1,GRIK4,CCDC196,PTPRJ,NCBP2,NAGK,UFL1-AS1,CHSY3,DACH1,SON,RPL6,AP001347.1,MAP7,H3F3B,EIF4EBP1,SCN3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEUROG1,GRM1,SIL1,AC244131.2,EML5,DTX4,NCBP2AS2,SLC4A5,ARHGAP18,SLC22A4,AL137139.2,DONSON,RPLP0,HSPA13,ADAT2,RHBDF2,RPL7,STK39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CXXC5,UST,PRELID2,PTPRO,LGMN,C11orf80,FGFR3,LRRTM4,AL133346.1,BRD8,ZIC5,CRYZL1,ZDHHC20,CXADR,AL589693.1,L3MBTL4,PDP1,CERS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SPRY4-AS1,AKAP12,RPS14,SYT10,TMEM121,DLG2,TMEM128,CTNNA2,NHSL1,CDC25C,ZIC2,ITSN1,EBPL,ATP5PF,MAP3K4,RNF165,RPL30,GAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DUSP1,CNKSR3,G3BP1,AC076968.2,MKRN3,TMEM123,SORCS2,TMSB10,ITGB8,NRG2,EMC9,MRPS6,DLEU2,APP,PRKN,SKA1,PABPC1,SLC25A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NRN1,RPS6KA2,HMMR,NTS,GABRG3,SIDT2,AC005699.1,ST3GAL5,IGF2BP3,AC008438.1,AL049828.2,RCAN1,DACH1,CCT8,CCZ1B,AC008543.1,RSPO2,HAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TMEM14C,CCZ1,AC109466.1,CFAP54,FAM189A1,SCN3B,FAM184B,REEP1,NEUROD6,NR3C1,COX16,MORC3,UGGT2,SOD1,AC004852.2,ZNF709,EIF3E,DLX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEDD9,AC060834.2,TENM2,NOS1,AGBL1,ST3GAL4,PACRGL,ANKRD36,GLI3,KCTD16,IFI27L2,TTC3,NPAS3,SON,NUP42,AC020908.1,LY6E,DLX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ZSCAN9,NPY,PDLIM7,PDS5B,NME3,IGSF9B,SMIM20,AFF3,CHCHD2,LARP1,TMEM121,VPS26C,RPS29,CRYZL1,GARS-DT,ZNF714,BOP1,SP9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLIC1,AOAH,SERPINB9,AL162493.1,ZNF75A,VPS26B,KLF3-AS1,SLC9A2,SEMA3D,TTC1,B2M,DYRK1A,MAP4K5,ATP5PO,SUGCT,CALM3,RPL8,LNPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CCDC167,CALN1,NRN1,JPH4,NPIPB2,CACNA1C,KLF3,SH3RF3,PDAP1,NSD1,SHF,BRWD1,MNAT1,MRPS6,ADCY1,UBE2S,ZNF16,AC009315.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OARD1,CYP51A1,ID4,TUBGCP5,SHISA9,PPFIA2,WDR19,INHBB,AC073114.1,FAM153CP,PPIB,HMGN1,SYNE2,TTC3,CHCHD2,SYNDIG1,RPS6,RFTN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEGFA,VPS50,HSPA1A,GABRB3,DCTPP1,SLC41A2,RPL9,MGAT5,PTPRZ1,CANX,CRABP1,BACE2,ZFP36L1,DYRK1A,SPDYE5,SGK2,STOML2,PLCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KHDC1,PILRB,HSPA1B,AC068722.1,VKORC1,TMEM263,ATP8A1,MCM6,FEZF1,HIST1H3J,CHRNA3,SLC37A1,IFT43,BRWD1,MAGI2,UBE2C,RFK,BMPR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HMGN3,GPR85,RPS18,SEMA6D,TPPP3,WSCD2,REST,GTDC1,UBE2H,ATF6B,MPG,PDE9A,ATXN3,HMGN1,SEMA3A,PPDPF,FRMD3,PLEKHM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SH3BGRL2,FOXP2,UQCC2,NOMO1,SMPD3,SART3,PRDM8,KIF5C,PTN,TAF11,JMJD8,NDUFV3,MARK3,GET1,GATAD1,AP001347.1,GAS1,TMEM169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,USP45,CTTNBP2,TOMM6,LINC02133,VPS4A,CUX2,THAP9,RND3,LZTS1,STK38,NME3,PKNOX1,PWRN1,CSTB,COL26A1,HSPA13,ROR2,CUL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FABP7,EPHB6,EEF1A1,AC137494.1,HYDIN,DTX1,UNC5C,KCNH7,ZMAT4,MDGA1,HAGH,RRP1B,UBE3A,PRMT2,SMIM30,MIR99AHG,TXN,NYAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RSPO3,CASP2,TENT5A,AC040168.1,AC009053.3,KSR2,LEF1,AC011900.1,ST18,SLC29A1,NDUFB10,GATD3A,FRMD5,YPEL1,POT1-AS1,CHODL,PTGR1,PID1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
